Gene	RF_Importance
C10orf93	0.106230407445815
SLC23A1	0.106176759619323
STC2	0.105826610650076
KCNQ4	0.105808629500935
LRG1	0.105742881589504
PTGER3	0.105732325794856
NUF2	0.105673785987946
NAT1	0.105529676831603
UCHL1	0.105397873389563
PPP1R3C	0.105138539541534
MYRIP	0.105044804982542
RGS20	0.104897698875868
ADCY1	0.104839367734959
TRIM29	0.10474418315311
ORM2	0.104642276636827
PGLYRP4	0.104303104233278
PLIN4	0.104280245185301
DUSP9	0.104218801195206
LOC93432	0.1041770666359
HR	0.103957402629466
RASGRF1	0.103738273573453
MUCL1	0.103698619516975
L1CAM	0.103546165942508
EXO1	0.103293908723319
BMPR1B	0.103274186235913
ABCA8	0.102981754056083
KCNF1	0.102966326555975
KIF4A	0.10282554265377
SLC40A1	0.102769872833406
TMEM45B	0.102610862932592
FAM54A	0.102398181294407
ITGB8	0.102359415527919
C5orf46	0.102306353159206
SEPT3	0.101763285890852
CR2	0.101761867477718
CNTNAP2	0.101515292633292
COCH	0.101395090205547
TMEM145	0.101293587038928
PALM2	0.101192024107105
CBLN4	0.101056745908088
CACNG1	0.100676344727247
ATP6V0A4	0.100548935335643
SYT17	0.100314511939829
KLK10	0.100220852311922
RASAL1	0.100125166572737
MPP2	0.100093087268507
CAMK2B	0.100086794994619
SERPINB2	0.100057464090083
TPSAB1	0.0999658395783226
GPR19	0.0998234243236235
OXGR1	0.0997786927396203
CRYAB	0.0997779840369326
KIAA1324	0.0993277117832593
MYBL2	0.0992458657937531
KIAA1377	0.0990736539509264
KCNH1	0.0989428810141484
DGCR5	0.0986947356949121
CCKBR	0.0985920509155626
SYTL2	0.098471933792884
MICALCL	0.0983460935309682
TP53	0.0982817639392858
CDC45	0.0982725480654138
CCDC129	0.0982571373148256
PTX3	0.098194423974986
FUT3	0.0981534880698869
ADCY5	0.098077548506589
C8orf47	0.0979456867294381
ABCA12	0.0978421607186571
COL9A1	0.0978329939332071
TFAP2B	0.097825336847656
PCP2	0.0973788456131543
PLIN5	0.0972355038141533
MPV17L	0.0971649067881007
CCL7	0.0971558951499519
GLS2	0.0966874526261778
ANXA8	0.0966360107606722
NCRNA00092	0.0965210702590501
L3MBTL4	0.0959319564819879
CSAG3	0.095521837881584
TUBB3	0.0955089376276304
PGR	0.0953425485870082
C6orf223	0.0950770741473708
CHN2	0.0950443799322243
MND1	0.0949647395157337
PCK1	0.0949373690648657
GSTA1	0.0947862116622511
TTYH1	0.0947240775884243
STARD10	0.0945389077225905
NCRNA00162	0.0944439585519668
LOC153328	0.094427375983393
RGL3	0.0943177662102073
ANKLE1	0.0942214957543681
TMEM26	0.0941598553337817
XK	0.0941535269058011
NCAM2	0.0941003605346004
AREG	0.0940337521848423
C7	0.0940307453750417
NRK	0.0939854634235263
PTPRT	0.0938815888164559
PSORS1C2	0.0931331077958371
HRCT1	0.0931088144413472
IGF1R	0.0928943944431566
SERPINB3	0.0927276398662611
ENTPD8	0.0926879629747739
