Gene	RF_Importance	LASSO_Coefficient	Degree	logFC	adj.P.Val	Is_Mutated	Score
KRT6B	0.123901026866864	0	0	3.25620752422318	1.70208037221497e-21	FALSE	0.885897969566573
GJB3	0.253795337968448	0	0	2.90510366855997	2.34726565184327e-38	FALSE	0.885027053472603
PRSS33	0.190790660693226	0	0	3.07390826149905	1.64884319133818e-61	FALSE	0.883427589344674
CYP4Z1	0.0607725445773671	0	0	-3.41870553959237	3.34082561024976e-19	FALSE	0.87532841892725
PI3	0.214238789276188	0	0	3.0001035349148	1.35566821803134e-26	FALSE	0.869189005930022
LY6D	0.172793420681388	0	0	3.10755704421428	5.00427758819939e-29	FALSE	0.86328947887606
DSG1	0.17046809873351	0.0234249830941523	0	2.4137290767346	3.05113990717093e-18	FALSE	0.838559713284087
CCNE1	0.430384854608742	0	0	2.36279983294353	7.94559121514951e-55	FALSE	0.79606446067175
IL22RA2	0.205156761649744	0.0125366892017757	0	2.60301206815904	1.44221266087142e-40	FALSE	0.79258639257467
MMP12	0.209549915281668	0	0	2.94964437242455	2.11260317113582e-31	FALSE	0.783940594168221
MAPK4	0.131156456502659	0	0	3.14284889185878	2.28226744410424e-37	FALSE	0.759216214043978
SIDT1	0.256547552586129	0	0	-2.77863621561421	1.89265438242334e-62	FALSE	0.724226099461231
TPRG1	0.0757696113860828	0	0	-3.26309923376768	4.65491662650434e-39	FALSE	0.71979307222252
